---,DataID,CharacterName,Description,Grade,AttackType,ClassType,HPMultiplier,AttackMultiplier,DefenseMultiplier,CharacterTexture,SkillIDs,CharacterMesh,AnimBlueprintClass,DeathMontage,NormalAttackMontage,BehaviorTree,SummonCost,SummonCooldown,PortraitIcon,MemberAbilities,PlayerBasicAttackAbility,HitMontage,PlayerScale,MemberScale,MemberWeaponID,PortraitFrame
44,Merry_SSR,Merry,"NSLOCTEXT(""DT"", ""Merry_SSR"", ""硫붾━ SSR?깃툒"")",SSR,RANGED,ARCHER,3.2,3.2,3.2,/Game/Assets/BlackStromAsset/UI/Character/AvatarThumb/Icon_Merry.Icon_Merry,"(""SKILL_ICEBALL"")",/Game/Assets/BlackStromAsset/3DModels/Player/Merry/SKM_Merry_Base.SKM_Merry_Base,/Game/Blueprint/PlayerCharacter/ABP/13_Merry/ABP_Merry.ABP_Merry_C,/Game/Blueprint/PlayerCharacter/ABP/13_Merry/Merry_Base_Dead_Montage.Merry_Base_Dead_Montage,/Game/Blueprint/PlayerCharacter/ABP/13_Merry/Merry_Base_Attack1_Montage.Merry_Base_Attack1_Montage,/Script/AIModule.BehaviorTree'/Game/AI/BT_Member_Basic.BT_Member_Basic',12,12,/Game/Assets/BlackStromAsset/UI/Character/Icon_Portrait/Icon_Merry.Icon_Merry,"(""/Script/Engine.BlueprintGeneratedClass'/Game/GAS/GA/Char_BasicAttack/GA_Attack_Merry.GA_Attack_Merry_C'"")",/Script/Engine.BlueprintGeneratedClass'/Game/GAS/GA/Char_BasicAttack/GA_Attack_Merry.GA_Attack_Merry_C',/Game/Blueprint/PlayerCharacter/ABP/13_Merry/Merry_Base_Damage_Montage.Merry_Base_Damage_Montage,"(X=1.000000,Y=1.000000,Z=1.000000)","(X=0.700000,Y=0.700000,Z=0.700000)",EQUIP_HELMET_08,/Game/Assets/BlackStromAsset/UI/Icon/Icon_ProfileFrame/Icon_50Lv_Frame.Icon_50Lv_Frame
45,Muzzle_UR,Muzzle,"NSLOCTEXT(""DT"", ""Muzzle_UR"", ""癒몄쫹 UR?깃툒 (怨좎쑀)"")",UR,RANGED,ARCHER,4.8,4.8,4.8,/Game/Assets/BlackStromAsset/UI/Character/AvatarThumb/Icon_Muzzle.Icon_Muzzle,"(""SKILL_ICEBALL"")",/Game/Assets/BlackStromAsset/3DModels/Player/Muzzle/SKM_Muzzle_Base.SKM_Muzzle_Base,/Game/Blueprint/PlayerCharacter/ABP/14_Muzzle/ABP_Muzzle.ABP_Muzzle_C,/Game/Blueprint/PlayerCharacter/ABP/14_Muzzle/Muzzle_Base_Dead_Montage.Muzzle_Base_Dead_Montage,/Game/Blueprint/PlayerCharacter/ABP/14_Muzzle/Muzzle_Base_Attack_Montage.Muzzle_Base_Attack_Montage,/Script/AIModule.BehaviorTree'/Game/AI/BT_Member_Basic.BT_Member_Basic',20,15,/Game/Assets/BlackStromAsset/UI/Character/Icon_Portrait/Icon_Muzzle.Icon_Muzzle,"(""/Script/Engine.BlueprintGeneratedClass'/Game/GAS/GA/Char_BasicAttack/GA_Attack_Muzzle.GA_Attack_Muzzle_C'"")",/Script/Engine.BlueprintGeneratedClass'/Game/GAS/GA/Char_BasicAttack/GA_Attack_Muzzle.GA_Attack_Muzzle_C',/Game/Blueprint/PlayerCharacter/ABP/14_Muzzle/Muzzle_Base_Attacked_Montage.Muzzle_Base_Attacked_Montage,"(X=3.200000,Y=3.200000,Z=3.200000)","(X=2.200000,Y=2.200000,Z=2.200000)",EQUIP_MELEE_07,/Game/Assets/BlackStromAsset/UI/Icon/Icon_ProfileFrame/Icon_Muzzle_Frame.Icon_Muzzle_Frame
46,Noble_N,Noble,"NSLOCTEXT(""DT"", ""Noble_N"", ""?몃툝 N?깃툒"")",N,RANGED,ARCHER,1,1,1,/Game/Assets/BlackStromAsset/UI/Character/AvatarThumb/Icon_Noble.Icon_Noble,"(""SKILL_ICEBALL"")",/Game/Assets/BlackStromAsset/3DModels/Player/Noble/SKM_Noble_Base.SKM_Noble_Base,/Game/Blueprint/PlayerCharacter/ABP/15_Noble/ABP_Noble.ABP_Noble_C,/Game/Blueprint/PlayerCharacter/ABP/15_Noble/Noble_Base_Dead_Anim_Take_0011_Montage.Noble_Base_Dead_Anim_Take_0011_Montage,/Game/Blueprint/PlayerCharacter/ABP/15_Noble/Noble_Base_Attack_Anim_Take_0011_Montage.Noble_Base_Attack_Anim_Take_0011_Montage,/Script/AIModule.BehaviorTree'/Game/AI/BT_Member_Basic.BT_Member_Basic',5,5,/Game/Assets/BlackStromAsset/UI/Character/Icon_Portrait/Icon_Noble.Icon_Noble,"(""/Script/Engine.BlueprintGeneratedClass'/Game/GAS/GA/Char_BasicAttack/GA_Attack_Noble.GA_Attack_Noble_C'"")",/Script/Engine.BlueprintGeneratedClass'/Game/GAS/GA/Char_BasicAttack/GA_Attack_Noble.GA_Attack_Noble_C',/Game/Blueprint/PlayerCharacter/ABP/15_Noble/Noble_Base_Damage_Anim_Take_0011_Montage.Noble_Base_Damage_Anim_Take_0011_Montage,"(X=3.200000,Y=3.200000,Z=3.200000)","(X=2.200000,Y=2.200000,Z=2.200000)",EQUIP_MELEE_07,/Game/Assets/BlackStromAsset/UI/Icon/Icon_ProfileFrame/Icon_10Lv_Frame.Icon_10Lv_Frame
47,Noble_R,Noble,"NSLOCTEXT(""DT"", ""Noble_R"", ""?몃툝 R?깃툒"")",R,RANGED,ARCHER,1.4,1.4,1.4,/Game/Assets/BlackStromAsset/UI/Character/AvatarThumb/Icon_Noble.Icon_Noble,"(""SKILL_ICEBALL"")",/Game/Assets/BlackStromAsset/3DModels/Player/Noble/SKM_Noble_Base.SKM_Noble_Base,/Game/Blueprint/PlayerCharacter/ABP/15_Noble/ABP_Noble.ABP_Noble_C,/Game/Blueprint/PlayerCharacter/ABP/15_Noble/Noble_Base_Dead_Anim_Take_0011_Montage.Noble_Base_Dead_Anim_Take_0011_Montage,/Game/Blueprint/PlayerCharacter/ABP/15_Noble/Noble_Base_Attack_Anim_Take_0011_Montage.Noble_Base_Attack_Anim_Take_0011_Montage,/Script/AIModule.BehaviorTree'/Game/AI/BT_Member_Basic.BT_Member_Basic',6,7,/Game/Assets/BlackStromAsset/UI/Character/Icon_Portrait/Icon_Noble.Icon_Noble,"(""/Script/Engine.BlueprintGeneratedClass'/Game/GAS/GA/Char_BasicAttack/GA_Attack_Noble.GA_Attack_Noble_C'"")",/Script/Engine.BlueprintGeneratedClass'/Game/GAS/GA/Char_BasicAttack/GA_Attack_Noble.GA_Attack_Noble_C',/Game/Blueprint/PlayerCharacter/ABP/15_Noble/Noble_Base_Damage_Anim_Take_0011_Montage.Noble_Base_Damage_Anim_Take_0011_Montage,"(X=3.200000,Y=3.200000,Z=3.200000)","(X=2.200000,Y=2.200000,Z=2.200000)",EQUIP_MELEE_07,/Game/Assets/BlackStromAsset/UI/Icon/Icon_ProfileFrame/Icon_20Lv_Frame.Icon_20Lv_Frame
48,Noble_SR,Noble,"NSLOCTEXT(""DT"", ""Noble_SR"", ""?몃툝 SR?깃툒"")",SR,RANGED,ARCHER,2.1,2.1,2.1,/Game/Assets/BlackStromAsset/UI/Character/AvatarThumb/Icon_Noble.Icon_Noble,"(""SKILL_ICEBALL"")",/Game/Assets/BlackStromAsset/3DModels/Player/Noble/SKM_Noble_Base.SKM_Noble_Base,/Game/Blueprint/PlayerCharacter/ABP/15_Noble/ABP_Noble.ABP_Noble_C,/Game/Blueprint/PlayerCharacter/ABP/15_Noble/Noble_Base_Dead_Anim_Take_0011_Montage.Noble_Base_Dead_Anim_Take_0011_Montage,/Game/Blueprint/PlayerCharacter/ABP/15_Noble/Noble_Base_Attack_Anim_Take_0011_Montage.Noble_Base_Attack_Anim_Take_0011_Montage,/Script/AIModule.BehaviorTree'/Game/AI/BT_Member_Basic.BT_Member_Basic',8,9,/Game/Assets/BlackStromAsset/UI/Character/Icon_Portrait/Icon_Noble.Icon_Noble,"(""/Script/Engine.BlueprintGeneratedClass'/Game/GAS/GA/Char_BasicAttack/GA_Attack_Noble.GA_Attack_Noble_C'"")",/Script/Engine.BlueprintGeneratedClass'/Game/GAS/GA/Char_BasicAttack/GA_Attack_Noble.GA_Attack_Noble_C',/Game/Blueprint/PlayerCharacter/ABP/15_Noble/Noble_Base_Damage_Anim_Take_0011_Montage.Noble_Base_Damage_Anim_Take_0011_Montage,"(X=3.200000,Y=3.200000,Z=3.200000)","(X=2.200000,Y=2.200000,Z=2.200000)",EQUIP_MELEE_07,/Game/Assets/BlackStromAsset/UI/Icon/Icon_ProfileFrame/Icon_30Lv_Frame.Icon_30Lv_Frame
49,Noble_SSR,Noble,"NSLOCTEXT(""DT"", ""Noble_SSR"", ""?몃툝 SSR?깃툒"")",SSR,RANGED,ARCHER,3.2,3.2,3.2,/Game/Assets/BlackStromAsset/UI/Character/AvatarThumb/Icon_Noble.Icon_Noble,"(""SKILL_ICEBALL"")",/Game/Assets/BlackStromAsset/3DModels/Player/Noble/SKM_Noble_Base.SKM_Noble_Base,/Game/Blueprint/PlayerCharacter/ABP/15_Noble/ABP_Noble.ABP_Noble_C,/Game/Blueprint/PlayerCharacter/ABP/15_Noble/Noble_Base_Dead_Anim_Take_0011_Montage.Noble_Base_Dead_Anim_Take_0011_Montage,/Game/Blueprint/PlayerCharacter/ABP/15_Noble/Noble_Base_Attack_Anim_Take_0011_Montage.Noble_Base_Attack_Anim_Take_0011_Montage,/Script/AIModule.BehaviorTree'/Game/AI/BT_Member_Basic.BT_Member_Basic',12,12,/Game/Assets/BlackStromAsset/UI/Character/Icon_Portrait/Icon_Noble.Icon_Noble,"(""/Script/Engine.BlueprintGeneratedClass'/Game/GAS/GA/Char_BasicAttack/GA_Attack_Noble.GA_Attack_Noble_C'"")",/Script/Engine.BlueprintGeneratedClass'/Game/GAS/GA/Char_BasicAttack/GA_Attack_Noble.GA_Attack_Noble_C',/Game/Blueprint/PlayerCharacter/ABP/15_Noble/Noble_Base_Damage_Anim_Take_0011_Montage.Noble_Base_Damage_Anim_Take_0011_Montage,"(X=3.200000,Y=3.200000,Z=3.200000)","(X=2.200000,Y=2.200000,Z=2.200000)",EQUIP_MELEE_07,/Game/Assets/BlackStromAsset/UI/Icon/Icon_ProfileFrame/Icon_50Lv_Frame.Icon_50Lv_Frame
50,Nurse_UR,Nurse,"NSLOCTEXT(""DT"", ""Nurse_UR"", ""?먯뒪 UR?깃툒 (怨좎쑀)"")",UR,RANGED,ARCHER,4.8,4.8,4.8,/Game/Assets/BlackStromAsset/UI/Character/AvatarThumb/Icon_Nurse.Icon_Nurse,"(""SKILL_ICEBALL"")",/Game/Assets/BlackStromAsset/3DModels/Player/Nurse/SKM_Nurse_Base.SKM_Nurse_Base,/Game/Blueprint/PlayerCharacter/ABP/16_Nurse/ABP_Nurse.ABP_Nurse_C,/Game/Blueprint/PlayerCharacter/ABP/16_Nurse/Nurse_Base_Dead_Montage.Nurse_Base_Dead_Montage,/Game/Blueprint/PlayerCharacter/ABP/16_Nurse/M_Nurse_Base_Attack_Montage.M_Nurse_Base_Attack_Montage,/Script/AIModule.BehaviorTree'/Game/AI/BT_Member_Basic.BT_Member_Basic',20,15,/Game/Assets/BlackStromAsset/UI/Character/Icon_Portrait/Icon_Nurse.Icon_Nurse,"(""/Script/Engine.BlueprintGeneratedClass'/Game/GAS/GA/Char_BasicAttack/GA_Attack_Nurse.GA_Attack_Nurse_C'"")",/Script/Engine.BlueprintGeneratedClass'/Game/GAS/GA/Char_BasicAttack/GA_Attack_Nurse.GA_Attack_Nurse_C',/Game/Blueprint/PlayerCharacter/ABP/16_Nurse/Nurse_Base_Damage_Montage.Nurse_Base_Damage_Montage,"(X=1.000000,Y=1.000000,Z=1.000000)","(X=0.700000,Y=0.700000,Z=0.700000)",EQUIP_MELEE_07,/Game/Assets/BlackStromAsset/UI/Icon/Icon_ProfileFrame/Icon_Nurse_Frame.Icon_Nurse_Frame
51,Outsider_N,Outsider,"NSLOCTEXT(""DT"", ""Outsider_N"", ""?꾩썐?ъ씠??N?깃툒"")",N,RANGED,MAGICIAN,0.8,1.3,0.8,/Game/Assets/BlackStromAsset/UI/Character/AvatarThumb/Icon_Outsider.Icon_Outsider,"(""SKILL_ICEBALL"")",/Game/Assets/BlackStromAsset/3DModels/Player/Outsider/SKM_Outsider_Base.SKM_Outsider_Base,/Game/Blueprint/PlayerCharacter/ABP/17_Outsider/ABP_Outsider.ABP_Outsider_C,/Game/Blueprint/PlayerCharacter/ABP/17_Outsider/Outsider_Base_Dead_Montage.Outsider_Base_Dead_Montage,/Game/Blueprint/PlayerCharacter/ABP/17_Outsider/Outsider_Base_Attack_Montage.Outsider_Base_Attack_Montage,/Script/AIModule.BehaviorTree'/Game/AI/BT_Member_Basic.BT_Member_Basic',5,5,/Game/Assets/BlackStromAsset/UI/Character/Icon_Portrait/Icon_Outsider.Icon_Outsider,"(""/Script/Engine.BlueprintGeneratedClass'/Game/GAS/GA/Char_BasicAttack/GA_Attack_Outsider.GA_Attack_Outsider_C'"")",/Script/Engine.BlueprintGeneratedClass'/Game/GAS/GA/Char_BasicAttack/GA_Attack_Outsider.GA_Attack_Outsider_C',/Game/Blueprint/PlayerCharacter/ABP/17_Outsider/Outsider_Base_Damage_Montage.Outsider_Base_Damage_Montage,"(X=1.000000,Y=1.000000,Z=1.000000)","(X=0.700000,Y=0.700000,Z=0.700000)",EQUIP_MELEE_07,/Game/Assets/BlackStromAsset/UI/Icon/Icon_ProfileFrame/Icon_10Lv_Frame.Icon_10Lv_Frame
52,Outsider_R,Outsider,"NSLOCTEXT(""DT"", ""Outsider_R"", ""?꾩썐?ъ씠??R?깃툒"")",R,RANGED,MAGICIAN,1.1,1.8,1.1,/Game/Assets/BlackStromAsset/UI/Character/AvatarThumb/Icon_Outsider.Icon_Outsider,"(""SKILL_ICEBALL"")",/Game/Assets/BlackStromAsset/3DModels/Player/Outsider/SKM_Outsider_Base.SKM_Outsider_Base,/Game/Blueprint/PlayerCharacter/ABP/17_Outsider/ABP_Outsider.ABP_Outsider_C,/Game/Blueprint/PlayerCharacter/ABP/17_Outsider/Outsider_Base_Dead_Montage.Outsider_Base_Dead_Montage,/Game/Blueprint/PlayerCharacter/ABP/17_Outsider/Outsider_Base_Attack_Montage.Outsider_Base_Attack_Montage,/Script/AIModule.BehaviorTree'/Game/AI/BT_Member_Basic.BT_Member_Basic',6,7,/Game/Assets/BlackStromAsset/UI/Character/Icon_Portrait/Icon_Outsider.Icon_Outsider,"(""/Script/Engine.BlueprintGeneratedClass'/Game/GAS/GA/Char_BasicAttack/GA_Attack_Outsider.GA_Attack_Outsider_C'"")",/Script/Engine.BlueprintGeneratedClass'/Game/GAS/GA/Char_BasicAttack/GA_Attack_Outsider.GA_Attack_Outsider_C',/Game/Blueprint/PlayerCharacter/ABP/17_Outsider/Outsider_Base_Damage_Montage.Outsider_Base_Damage_Montage,"(X=1.000000,Y=1.000000,Z=1.000000)","(X=0.700000,Y=0.700000,Z=0.700000)",EQUIP_MELEE_07,/Game/Assets/BlackStromAsset/UI/Icon/Icon_ProfileFrame/Icon_20Lv_Frame.Icon_20Lv_Frame
53,Outsider_SR,Outsider,"NSLOCTEXT(""DT"", ""Outsider_SR"", ""?꾩썐?ъ씠??SR?깃툒"")",SR,RANGED,MAGICIAN,1.6,2.7,1.6,/Game/Assets/BlackStromAsset/UI/Character/AvatarThumb/Icon_Outsider.Icon_Outsider,"(""SKILL_ICEBALL"")",/Game/Assets/BlackStromAsset/3DModels/Player/Outsider/SKM_Outsider_Base.SKM_Outsider_Base,/Game/Blueprint/PlayerCharacter/ABP/17_Outsider/ABP_Outsider.ABP_Outsider_C,/Game/Blueprint/PlayerCharacter/ABP/17_Outsider/Outsider_Base_Dead_Montage.Outsider_Base_Dead_Montage,/Game/Blueprint/PlayerCharacter/ABP/17_Outsider/Outsider_Base_Attack_Montage.Outsider_Base_Attack_Montage,/Script/AIModule.BehaviorTree'/Game/AI/BT_Member_Basic.BT_Member_Basic',8,9,/Game/Assets/BlackStromAsset/UI/Character/Icon_Portrait/Icon_Outsider.Icon_Outsider,"(""/Script/Engine.BlueprintGeneratedClass'/Game/GAS/GA/Char_BasicAttack/GA_Attack_Outsider.GA_Attack_Outsider_C'"")",/Script/Engine.BlueprintGeneratedClass'/Game/GAS/GA/Char_BasicAttack/GA_Attack_Outsider.GA_Attack_Outsider_C',/Game/Blueprint/PlayerCharacter/ABP/17_Outsider/Outsider_Base_Damage_Montage.Outsider_Base_Damage_Montage,"(X=1.000000,Y=1.000000,Z=1.000000)","(X=0.700000,Y=0.700000,Z=0.700000)",EQUIP_MELEE_07,/Game/Assets/BlackStromAsset/UI/Icon/Icon_ProfileFrame/Icon_30Lv_Frame.Icon_30Lv_Frame
54,Outsider_SSR,Outsider,"NSLOCTEXT(""DT"", ""Outsider_SSR"", ""?꾩썐?ъ씠??SSR?깃툒"")",SSR,RANGED,MAGICIAN,2.5,4.1,2.5,/Game/Assets/BlackStromAsset/UI/Character/AvatarThumb/Icon_Outsider.Icon_Outsider,"(""SKILL_ICEBALL"")",/Game/Assets/BlackStromAsset/3DModels/Player/Outsider/SKM_Outsider_Base.SKM_Outsider_Base,/Game/Blueprint/PlayerCharacter/ABP/17_Outsider/ABP_Outsider.ABP_Outsider_C,/Game/Blueprint/PlayerCharacter/ABP/17_Outsider/Outsider_Base_Dead_Montage.Outsider_Base_Dead_Montage,/Game/Blueprint/PlayerCharacter/ABP/17_Outsider/Outsider_Base_Attack_Montage.Outsider_Base_Attack_Montage,/Script/AIModule.BehaviorTree'/Game/AI/BT_Member_Basic.BT_Member_Basic',12,12,/Game/Assets/BlackStromAsset/UI/Character/Icon_Portrait/Icon_Outsider.Icon_Outsider,"(""/Script/Engine.BlueprintGeneratedClass'/Game/GAS/GA/Char_BasicAttack/GA_Attack_Outsider.GA_Attack_Outsider_C'"")",/Script/Engine.BlueprintGeneratedClass'/Game/GAS/GA/Char_BasicAttack/GA_Attack_Outsider.GA_Attack_Outsider_C',/Game/Blueprint/PlayerCharacter/ABP/17_Outsider/Outsider_Base_Damage_Montage.Outsider_Base_Damage_Montage,"(X=1.000000,Y=1.000000,Z=1.000000)","(X=0.700000,Y=0.700000,Z=0.700000)",EQUIP_MELEE_07,/Game/Assets/BlackStromAsset/UI/Icon/Icon_ProfileFrame/Icon_50Lv_Frame.Icon_50Lv_Frame
55,Pioneer_N,Pioneer,"NSLOCTEXT(""DT"", ""Pioneer_N"", ""?뚯씠?ㅻ땲??N?깃툒"")",N,RANGED,MAGICIAN,0.8,1.3,0.8,/Game/Assets/BlackStromAsset/UI/Character/AvatarThumb/Icon_Pioneer.Icon_Pioneer,"(""SKILL_ICEBALL"")",/Game/Assets/BlackStromAsset/3DModels/Player/Pioneer/SKM_Pioneer_Base.SKM_Pioneer_Base,/Game/Blueprint/PlayerCharacter/ABP/18_Pioneer/ABP_Pioneer.ABP_Pioneer_C,/Game/Blueprint/PlayerCharacter/ABP/18_Pioneer/Pioneer_Base_Dead_Montage.Pioneer_Base_Dead_Montage,/Game/Blueprint/PlayerCharacter/ABP/18_Pioneer/Pioneer_Base_Attack_Montage.Pioneer_Base_Attack_Montage,/Script/AIModule.BehaviorTree'/Game/AI/BT_Member_Basic.BT_Member_Basic',5,5,/Game/Assets/BlackStromAsset/UI/Character/Icon_Portrait/Icon_Pioneer.Icon_Pioneer,"(""/Script/Engine.BlueprintGeneratedClass'/Game/GAS/GA/Char_BasicAttack/GA_Attack_Pioneer.GA_Attack_Pioneer_C'"")",/Script/Engine.BlueprintGeneratedClass'/Game/GAS/GA/Char_BasicAttack/GA_Attack_Pioneer.GA_Attack_Pioneer_C',/Game/Blueprint/PlayerCharacter/ABP/18_Pioneer/Pioneer_Base_Attacked_Montage.Pioneer_Base_Attacked_Montage,"(X=3.200000,Y=3.200000,Z=3.200000)","(X=2.200000,Y=2.200000,Z=2.200000)",EQUIP_MELEE_07,/Game/Assets/BlackStromAsset/UI/Icon/Icon_ProfileFrame/Icon_10Lv_Frame.Icon_10Lv_Frame
56,Pioneer_R,Pioneer,"NSLOCTEXT(""DT"", ""Pioneer_R"", ""?뚯씠?ㅻ땲??R?깃툒"")",R,RANGED,MAGICIAN,1.1,1.8,1.1,/Game/Assets/BlackStromAsset/UI/Character/AvatarThumb/Icon_Pioneer.Icon_Pioneer,"(""SKILL_ICEBALL"")",/Game/Assets/BlackStromAsset/3DModels/Player/Pioneer/SKM_Pioneer_Base.SKM_Pioneer_Base,/Game/Blueprint/PlayerCharacter/ABP/18_Pioneer/ABP_Pioneer.ABP_Pioneer_C,/Game/Blueprint/PlayerCharacter/ABP/18_Pioneer/Pioneer_Base_Dead_Montage.Pioneer_Base_Dead_Montage,/Game/Blueprint/PlayerCharacter/ABP/18_Pioneer/Pioneer_Base_Attack_Montage.Pioneer_Base_Attack_Montage,/Script/AIModule.BehaviorTree'/Game/AI/BT_Member_Basic.BT_Member_Basic',6,7,/Game/Assets/BlackStromAsset/UI/Character/Icon_Portrait/Icon_Pioneer.Icon_Pioneer,"(""/Script/Engine.BlueprintGeneratedClass'/Game/GAS/GA/Char_BasicAttack/GA_Attack_Pioneer.GA_Attack_Pioneer_C'"")",/Script/Engine.BlueprintGeneratedClass'/Game/GAS/GA/Char_BasicAttack/GA_Attack_Pioneer.GA_Attack_Pioneer_C',/Game/Blueprint/PlayerCharacter/ABP/18_Pioneer/Pioneer_Base_Attacked_Montage.Pioneer_Base_Attacked_Montage,"(X=3.200000,Y=3.200000,Z=3.200000)","(X=2.200000,Y=2.200000,Z=2.200000)",EQUIP_MELEE_07,/Game/Assets/BlackStromAsset/UI/Icon/Icon_ProfileFrame/Icon_20Lv_Frame.Icon_20Lv_Frame
57,Pioneer_SR,Pioneer,"NSLOCTEXT(""DT"", ""Pioneer_SR"", ""?뚯씠?ㅻ땲??SR?깃툒"")",SR,RANGED,MAGICIAN,1.6,2.7,1.6,/Game/Assets/BlackStromAsset/UI/Character/AvatarThumb/Icon_Pioneer.Icon_Pioneer,"(""SKILL_ICEBALL"")",/Game/Assets/BlackStromAsset/3DModels/Player/Pioneer/SKM_Pioneer_Base.SKM_Pioneer_Base,/Game/Blueprint/PlayerCharacter/ABP/18_Pioneer/ABP_Pioneer.ABP_Pioneer_C,/Game/Blueprint/PlayerCharacter/ABP/18_Pioneer/Pioneer_Base_Dead_Montage.Pioneer_Base_Dead_Montage,/Game/Blueprint/PlayerCharacter/ABP/18_Pioneer/Pioneer_Base_Attack_Montage.Pioneer_Base_Attack_Montage,/Script/AIModule.BehaviorTree'/Game/AI/BT_Member_Basic.BT_Member_Basic',8,9,/Game/Assets/BlackStromAsset/UI/Character/Icon_Portrait/Icon_Pioneer.Icon_Pioneer,"(""/Script/Engine.BlueprintGeneratedClass'/Game/GAS/GA/Char_BasicAttack/GA_Attack_Pioneer.GA_Attack_Pioneer_C'"")",/Script/Engine.BlueprintGeneratedClass'/Game/GAS/GA/Char_BasicAttack/GA_Attack_Pioneer.GA_Attack_Pioneer_C',/Game/Blueprint/PlayerCharacter/ABP/18_Pioneer/Pioneer_Base_Attacked_Montage.Pioneer_Base_Attacked_Montage,"(X=3.200000,Y=3.200000,Z=3.200000)","(X=2.200000,Y=2.200000,Z=2.200000)",EQUIP_MELEE_07,/Game/Assets/BlackStromAsset/UI/Icon/Icon_ProfileFrame/Icon_30Lv_Frame.Icon_30Lv_Frame
58,Pioneer_SSR,Pioneer,"NSLOCTEXT(""DT"", ""Pioneer_SSR"", ""?뚯씠?ㅻ땲??SSR?깃툒"")",SSR,RANGED,MAGICIAN,2.5,4.1,2.5,/Game/Assets/BlackStromAsset/UI/Character/AvatarThumb/Icon_Pioneer.Icon_Pioneer,"(""SKILL_ICEBALL"")",/Game/Assets/BlackStromAsset/3DModels/Player/Pioneer/SKM_Pioneer_Base.SKM_Pioneer_Base,/Game/Blueprint/PlayerCharacter/ABP/18_Pioneer/ABP_Pioneer.ABP_Pioneer_C,/Game/Blueprint/PlayerCharacter/ABP/18_Pioneer/Pioneer_Base_Dead_Montage.Pioneer_Base_Dead_Montage,/Game/Blueprint/PlayerCharacter/ABP/18_Pioneer/Pioneer_Base_Attack_Montage.Pioneer_Base_Attack_Montage,/Script/AIModule.BehaviorTree'/Game/AI/BT_Member_Basic.BT_Member_Basic',12,12,/Game/Assets/BlackStromAsset/UI/Character/Icon_Portrait/Icon_Pioneer.Icon_Pioneer,"(""/Script/Engine.BlueprintGeneratedClass'/Game/GAS/GA/Char_BasicAttack/GA_Attack_Pioneer.GA_Attack_Pioneer_C'"")",/Script/Engine.BlueprintGeneratedClass'/Game/GAS/GA/Char_BasicAttack/GA_Attack_Pioneer.GA_Attack_Pioneer_C',/Game/Blueprint/PlayerCharacter/ABP/18_Pioneer/Pioneer_Base_Attacked_Montage.Pioneer_Base_Attacked_Montage,"(X=3.200000,Y=3.200000,Z=3.200000)","(X=2.200000,Y=2.200000,Z=2.200000)",EQUIP_MELEE_07,/Game/Assets/BlackStromAsset/UI/Icon/Icon_ProfileFrame/Icon_50Lv_Frame.Icon_50Lv_Frame
59,Rogue_N,Rogue,"NSLOCTEXT(""DT"", ""Rogue_N"", ""濡쒓렇 N?깃툒"")",N,MELEE,WARRIOR,1.3,0.8,1.3,/Game/Assets/BlackStromAsset/UI/Character/AvatarThumb/Icon_Rogue.Icon_Rogue,"(""SKILL_ICEBALL"")",/Game/Assets/BlackStromAsset/3DModels/Player/Rogue/SKM_Rogue_Base.SKM_Rogue_Base,/Game/Blueprint/PlayerCharacter/ABP/19_Rogue/ABP_Rogue.ABP_Rogue_C,/Game/Blueprint/PlayerCharacter/ABP/19_Rogue/Rogue_Base_Dead_Anim_Rogue_Base_Dead_Montage.Rogue_Base_Dead_Anim_Rogue_Base_Dead_Montage,/Game/Blueprint/PlayerCharacter/ABP/19_Rogue/Rogue_Base_Attack2_Anim_Rogue_Base_Attack2_Montage.Rogue_Base_Attack2_Anim_Rogue_Base_Attack2_Montage,/Script/AIModule.BehaviorTree'/Game/AI/BT_Member_Basic.BT_Member_Basic',5,5,/Game/Assets/BlackStromAsset/UI/Character/Icon_Portrait/Icon_Rogue.Icon_Rogue,"(""/Script/Engine.BlueprintGeneratedClass'/Game/GAS/GA/Char_BasicAttack/GA_Attack_Rogue.GA_Attack_Rogue_C'"")",/Script/Engine.BlueprintGeneratedClass'/Game/GAS/GA/Char_BasicAttack/GA_Attack_Rogue.GA_Attack_Rogue_C',/Game/Blueprint/PlayerCharacter/ABP/19_Rogue/Rogue_Base_Damage_Anim_Rogue_Base_Attacked_Montage.Rogue_Base_Damage_Anim_Rogue_Base_Attacked_Montage,"(X=3.200000,Y=3.200000,Z=3.300000)","(X=2.200000,Y=2.200000,Z=2.200000)",EQUIP_MELEE_07,/Game/Assets/BlackStromAsset/UI/Icon/Icon_ProfileFrame/Icon_10Lv_Frame.Icon_10Lv_Frame
